Date,Company_Name,Ticker,Universe,Listed_Date,Close,Upper_BB,RSI_9,Prev_RSI_9,Volume_Spike,Stop_Loss,Target_1,Target_1_Gain_%,Target_2,Target_2_Gain_%,Strength_Score
2026-08-16,LG Electronics India Limited,LGEINDIA.NS,NSE Main Board IPO,2025-10-14,1729.7,1657.6,80.8,57.88,13.18x,1625.92,1908.72,+10.35%,2028.07,+17.25%,100
2026-08-16,HMA Agro Industries Limited,HMAAGRO.BO,BSE Main Board IPO,2023-07-04,24.23,23.12,78.57,56.58,8.23x,22.78,26.73,+10.32%,28.4,+17.21%,100
2026-08-16,Global Surfaces Limited,GSLSU.NS,NSE Main Board IPO,2023-03-23,32.11,31.65,63.53,59.18,2.49x,30.18,35.24,+9.75%,37.32,+16.23%,85
2026-08-16,SHANTI GOLD INTERNATIONAL LIMITED,SHANTIGOLD.BO,BSE Main Board IPO,2025-08-01,247.5,239.1,86.04,73.99,4.26x,232.65,271.56,+9.72%,287.6,+16.2%,80
2026-08-16,Unimech Aerospace and Manufacturing Limited,UNIMECH.BO,BSE Main Board IPO,2025-12-31,1523.3,1522.34,80.9,71.66,2.93x,1431.9,1671.37,+9.72%,1770.08,+16.2%,80
2026-08-16,Motisons Jewellers Limited,MOTISONS.NS,NSE Main Board IPO,2023-12-26,16.75,15.56,80.55,61.88,9.17x,15.74,18.49,+10.39%,19.65,+17.31%,80
2026-08-16,Honasa Consumer Limited,HONASA.NS,NSE Main Board IPO,2023-11-07,502.8,489.84,79.39,68.17,11.33x,472.63,554.84,+10.35%,589.54,+17.25%,80
2026-08-16,Plaza Wires Limited,PLAZACABLE.BO,BSE Main Board IPO,2023-10-12,57.19,55.03,91.11,88.54,4.8x,53.76,62.75,+9.72%,66.45,+16.19%,65
2026-08-16,DIVGI TORQTRANSFER SYSTEMS LIMITED,DIVGIITTS.NS,NSE Main Board IPO,2023-03-14,1301.05,1237.31,88.62,85.03,2.56x,1222.99,1427.51,+9.72%,1511.81,+16.2%,65
2026-08-16,KRN HEAT EXCHANGER AND REFRIGERATION LIMITED,KRN.BO,BSE Main Board IPO,2024-10-03,1468.7,1399.67,87.11,82.97,6.14x,1380.58,1620.71,+10.35%,1722.04,+17.25%,65
2026-08-16,Valiant Laboratories Limited,VALIANTLAB.BO,BSE Main Board IPO,2023-10-06,83.05,78.76,86.81,83.91,12.92x,78.07,91.64,+10.34%,97.37,+17.24%,65
2026-08-16,VMS TMT LIMITED,VMSTMT.NS,NSE Main Board IPO,2025-09-24,51.36,51.29,85.42,86.21,2.65x,48.28,56.35,+9.72%,59.68,+16.2%,65
2026-08-16,Ratnaveer Precision Engineering Limited,RATNAVEER.BO,BSE Main Board IPO,2023-09-11,230.0,228.63,80.8,75.95,1.37x,216.2,250.7,+9.0%,264.5,+15.0%,65
2026-08-16,SEDEMAC MECHATRONICS LIMITED,SEDEMAC.NS,NSE Main Board IPO,2026-03-11,3152.9,3128.5,76.23,71.55,0.92x,2963.73,3436.65,+9.0%,3625.82,+15.0%,65
2026-08-16,Mukka Proteins Limited,MUKKA.NS,NSE Main Board IPO,2024-03-07,26.5,25.62,82.03,80.53,1.72x,24.91,28.89,+9.02%,30.48,+15.02%,50
2026-08-16,KSH INTERNATIONAL LIMITED,KSHINTL.NS,NSE Main Board IPO,2025-12-23,1028.6,1019.43,81.68,78.45,0.74x,966.88,1121.18,+9.0%,1182.9,+15.0%,50
2026-08-16,Lenskart Solutions Limited,LENSKART.BO,BSE Main Board IPO,2025-11-10,612.2,603.79,81.11,75.41,0.86x,575.47,667.3,+9.0%,704.03,+15.0%,50
2026-08-16,SURAKSHA DIAGNOSTIC LIMITED,SURAKSHA.BO,BSE Main Board IPO,2024-12-06,304.0,293.51,79.26,82.38,1.05x,285.76,331.36,+9.0%,349.6,+15.0%,50
2026-08-16,ELLENBARRIE INDUSTRIAL GASES LIMITED,ELLEN.BO,BSE Main Board IPO,2025-07-01,332.75,330.49,76.88,81.5,1.08x,312.78,362.7,+9.0%,382.68,+15.01%,50
2026-08-16,Azad Engineering Limited,AZAD.BO,BSE Main Board IPO,2023-12-28,2717.6,2660.33,75.62,72.85,0.72x,2554.54,2962.19,+9.0%,3125.25,+15.0%,50
2026-08-16,SARASWATI SAREE DEPOT LIMITED,SSDL.NS,NSE Main Board IPO,2024-08-20,65.14,64.88,73.85,90.18,0.78x,61.23,71.0,+9.0%,74.91,+15.0%,50
2026-08-16,Fujiyama Power Systems Limited,UTLSOLAR.BO,BSE Main Board IPO,2025-11-20,423.85,415.26,72.22,66.82,0.59x,398.42,462.0,+9.0%,487.43,+15.0%,50
