Company_Name,Ticker,Listed_Date,Listing_Year,Exchange,Current_Price,Listing_Gain_Pct,Overall_Gain_Pct,Performance_Status
3B Blackbio Dx Limited,3BBLACKBIO.NS,2026-04-20,2026,NSE Main Board,1148.4,,,🟢 Trading Active
ABM Knowledgeware Limited,ABMKNO.NS,2026-04-20,2026,NSE Main Board,192.1,,,🟢 Trading Active
ACS Technologies Limited,ACSTECH.NS,2026-04-20,2026,NSE Main Board,49.92,,,🟢 Trading Active
AK Capital Services Limited,AKCAPIT.NS,2026-04-20,2026,NSE Main Board,1762.7,,,🟢 Trading Active
ARCL Organics Limited,ARCL.NS,2026-08-17,2026,NSE Main Board,233.75,,,🟢 Trading Active
Aarnav Fashions Limited,AARNAV.NS,2026-02-25,2026,NSE Main Board,35.37,,,🟢 Trading Active
Aastha Spintex Limited,AASTHA.NS,2026-07-06,2026,NSE Main Board,73.03,,,🟢 Trading Active
Abans Enterprises Limited,ABANSENT.NS,2026-04-20,2026,NSE Main Board,30.3,,,🟢 Trading Active
Addi Industries Limited,ADDIND.NS,2026-08-17,2026,NSE Main Board,89.5,,,🟢 Trading Active
Advait Energy Transitions Limited,ADVAIT.NS,2026-01-20,2026,NSE Main Board,2126.1,,,🟢 Trading Active
Advik Capital Limited,ADVIKCA.NS,2026-08-17,2026,NSE Main Board,1.23,,,🟢 Trading Active
Advit Jewels Limited,RAMBHAJO.NS,2026-07-01,2026,NSE Main Board,179.25,,,🟢 Trading Active
Alfred Herbert India Limited,ALFREDHE.NS,2026-08-17,2026,NSE Main Board,2985.6,,,🟢 Trading Active
Algoquant Fintech Limited,ALGOQUANT.NS,2026-01-06,2026,NSE Main Board,66.27,,,🟢 Trading Active
Allcargo Global Limited,AGL.NS,2026-07-03,2026,NSE Main Board,13.25,,,🟢 Trading Active
Alpine Texworld Limited,ALPINETEX.NS,2026-07-21,2026,NSE Main Board,60.46,,,🟢 Trading Active
Alufluoride Limited,ALUFLUOR.NS,2026-08-17,2026,NSE Main Board,440.3,,,🟢 Trading Active
Amagi Media Labs Limited,AMAGI.NS,2026-01-21,2026,NSE Main Board,579.15,,,🟢 Trading Active
Amal Limited,AMAL.NS,2026-08-17,2026,NSE Main Board,740.45,,,🟢 Trading Active
Amarjothi Spinning Mills Limited,AMARJOTHI.NS,2026-08-17,2026,NSE Main Board,157.57,,,🟢 Trading Active
Ambalal Sarabhai Enterprises Limited,AMBALALSA.NS,2026-04-20,2026,NSE Main Board,47.61,,,🟢 Trading Active
Amir Chand Jagdish Kumar (Exports) Limited,AEROPLANE.NS,2026-04-02,2026,NSE Main Board,181.19,,,🟢 Trading Active
Andrew Yule & Company Limited,ANDREWYU.NS,2026-08-17,2026,NSE Main Board,25.98,,,🟢 Trading Active
Annapurna Swadisht Limited,ANNAPURNA.NS,2026-08-12,2026,NSE Main Board,157.6,,,🟢 Trading Active
Ansal Buildwell Limited,ANSALBU.NS,2026-08-17,2026,NSE Main Board,73.0,,,🟢 Trading Active
Apoorva Leasing Finance and Investment Company Limited,APOORVA.NS,2026-08-17,2026,NSE Main Board,,,,⚪ Inactive / Unlisted
Ardee Industries Limited,ARDEE.NS,2026-08-12,2026,NSE Main Board,63.89,,,🟢 Trading Active
Arihant Foundations & Housing Limited,ARIHANT.NS,2026-04-20,2026,NSE Main Board,1021.5,,,🟢 Trading Active
Artemis Electricals and Projects Limited,AEPL.NS,2026-03-12,2026,NSE Main Board,14.9,,,🟢 Trading Active
Aryaman Financial Services Limited,ARYAMAN.NS,2026-08-17,2026,NSE Main Board,599.9,,,🟢 Trading Active
Ashika Global Securities Limited,ASHIKAG.NS,2026-04-20,2026,NSE Main Board,432.45,,,🟢 Trading Active
Asian Star Company Limited,ASTAR.NS,2026-04-20,2026,NSE Main Board,590.6,,,🟢 Trading Active
Asian Tea & Exports Limited,ASIANTNE.NS,2026-08-17,2026,NSE Main Board,9.46,,,🟢 Trading Active
Assam Entrade Limited,ASSAMENT.NS,2026-08-17,2026,NSE Main Board,807.5,,,🟢 Trading Active
Austin Engineering Company  Limited,AUSTENG.NS,2026-08-17,2026,NSE Main Board,114.3,,,🟢 Trading Active
Automobile Corporation of Goa Limited,ACGL.NS,2026-08-17,2026,NSE Main Board,1755.0,,,🟢 Trading Active
Avance Technologies Limited,AVANCE.NS,2026-08-17,2026,NSE Main Board,0.9,,,🟢 Trading Active
Axtel Industries Limited,AXTEL.NS,2026-08-17,2026,NSE Main Board,415.3,,,🟢 Trading Active
Aye Finance Limited,AYE.NS,2026-02-16,2026,NSE Main Board,171.8,,,🟢 Trading Active
Azad India Mobility Limited,AZADIND.NS,2026-08-17,2026,NSE Main Board,90.93,,,🟢 Trading Active
B & A Limited,BNALTD.NS,2026-04-20,2026,NSE Main Board,401.0,,,🟢 Trading Active
BCPL Railway Infrastructure Limited,BCPL.NS,2026-03-27,2026,NSE Main Board,70.79,,,🟢 Trading Active
BN Agrochem Limited,BNAGROCHEM.NS,2026-04-20,2026,NSE Main Board,231.7,,,🟢 Trading Active
Bajaj Steel Industries Limited,BAJAJST.NS,2026-04-20,2026,NSE Main Board,359.5,,,🟢 Trading Active
Balmer Lawrie Investments Limited,BLIL.NS,2026-04-20,2026,NSE Main Board,71.3,,,🟢 Trading Active
Batliboi Limited,BATLIBOI.NS,2026-04-20,2026,NSE Main Board,85.85,,,🟢 Trading Active
Beekay Steel Industries Limited,BEEKAY.NS,2026-04-20,2026,NSE Main Board,424.05,,,🟢 Trading Active
Benares Hotels Limited,BENARAS.NS,2026-08-17,2026,NSE Main Board,10205.0,,,🟢 Trading Active
Bengal & Assam Company Limited,BENGALASM.NS,2026-04-20,2026,NSE Main Board,6246.0,,,🟢 Trading Active
Bharat Coking Coal Limited,BHARATCOAL.NS,2026-01-19,2026,NSE Main Board,33.24,,,🟢 Trading Active
Bharat Parenterals Limited,BPLPHARMA.NS,2026-08-17,2026,NSE Main Board,1264.8,,,🟢 Trading Active
Bhilwara Technical Textiles Limited,BTTL.NS,2026-04-20,2026,NSE Main Board,44.36,,,🟢 Trading Active
Bilcare Limited,BI.NS,2026-04-20,2026,NSE Main Board,101.38,,,🟢 Trading Active
Bimetal Bearings Limited,BIMETAL.NS,2026-04-20,2026,NSE Main Board,632.85,,,🟢 Trading Active
Birla Precision Technologies Limited,BIRLAPREC.NS,2026-04-20,2026,NSE Main Board,36.49,,,🟢 Trading Active
Black Rose Inds. Limited,BLACKROSE.NS,2026-04-20,2026,NSE Main Board,108.9,,,🟢 Trading Active
Blue Cloud Softech Solutions Limited,BLUECLOUDS.NS,2026-08-17,2026,NSE Main Board,22.85,,,🟢 Trading Active
Bonlon Industries Limited,BONLON.NS,2026-02-20,2026,NSE Main Board,41.86,,,🟢 Trading Active
Brahmaputra Infrastructure Limited,BRAHMINFRA.NS,2026-08-17,2026,NSE Main Board,176.78,,,🟢 Trading Active
Bright Brothers Limited,BRIGHTBR.NS,2026-08-17,2026,NSE Main Board,255.13,,,🟢 Trading Active
CG Vak Software & Exports Limited,CGVAK.NS,2026-08-17,2026,NSE Main Board,151.24,,,🟢 Trading Active
CMR Green Technologies Limited,CMRGREEN.NS,2026-06-10,2026,NSE Main Board,211.99,,,🟢 Trading Active
CSM Technologies Limited,CSM.NS,2026-07-02,2026,NSE Main Board,100.19,,,🟢 Trading Active
Caliber Mining and Logistics Limited,CMLL.NS,2026-07-24,2026,NSE Main Board,532.65,,,🟢 Trading Active
Captain Polyplast Limited,CPL.NS,2026-07-23,2026,NSE Main Board,68.36,,,🟢 Trading Active
Ceinsys Tech Limited,CEINSYS.NS,2026-02-19,2026,NSE Main Board,784.3,,,🟢 Trading Active
Central Mine Planning & Design Institute Limited,CMPDI.NS,2026-03-30,2026,NSE Main Board,233.11,,,🟢 Trading Active
Chemcrux Enterprises Limited,CHEMCRUX.NS,2026-08-17,2026,NSE Main Board,87.0,,,🟢 Trading Active
Clean Max Enviro Energy Solutions Limited,CLEANMAX.NS,2026-03-02,2026,NSE Main Board,1244.7,,,🟢 Trading Active
Comfort Intech Limited,COMFINTE.NS,2026-04-20,2026,NSE Main Board,6.38,,,🟢 Trading Active
Competent Automobiles Company Limited,COMPEAU.NS,2026-08-17,2026,NSE Main Board,355.05,,,🟢 Trading Active
Confidence Futuristic Energetech Limited,CFEL.NS,2026-08-17,2026,NSE Main Board,29.08,,,🟢 Trading Active
Cravatex Limited,CRAVATEX.NS,2026-08-17,2026,NSE Main Board,347.9,,,🟢 Trading Active
Cressanda Railway Solutions Limited,CRSL.NS,2026-08-17,2026,NSE Main Board,2.15,,,🟢 Trading Active
DCM Shriram Fine Chemicals Limited,DSFCL.NS,2026-02-17,2026,NSE Main Board,26.01,,,🟢 Trading Active
DCM Shriram International Limited,DCMSIL.NS,2026-02-17,2026,NSE Main Board,68.94,,,🟢 Trading Active
Dai-Ichi Karkaria Limited,DAICHI.NS,2026-04-20,2026,NSE Main Board,323.95,,,🟢 Trading Active
Deccan Gold Mines Limited,DECNGOLD.NS,2026-04-20,2026,NSE Main Board,244.05,,,🟢 Trading Active
Deep Polymers Limited,DEEP.NS,2026-08-17,2026,NSE Main Board,36.96,,,🟢 Trading Active
Dhabriya Polywood Limited,DHABRIYA.NS,2026-08-17,2026,NSE Main Board,558.05,,,🟢 Trading Active
Dhatre Udyog Limited,DHATRE.NS,2026-08-17,2026,NSE Main Board,4.58,,,🟢 Trading Active
Dhoot Transmission Limited,DHOOTTRANS.NS,2026-08-17,2026,NSE Main Board,1305.75,,,🟢 Trading Active
Disa India Limited,DISAQ.NS,2026-04-20,2026,NSE Main Board,11696.0,,,🟢 Trading Active
Dr Agarwals Eye Hospital Limited,DRAGARWQ.NS,2026-04-20,2026,NSE Main Board,5321.0,,,🟢 Trading Active
EBIX Limited,EBIX.NS,2026-08-17,2026,NSE Main Board,17.06,,,🟢 Trading Active
EKI Energy Services Limited,EKI.NS,2026-08-17,2026,NSE Main Board,79.58,,,🟢 Trading Active
EL CID Investments Limited,ELCIDIN.NS,2026-04-20,2026,NSE Main Board,110000.0,,,🟢 Trading Active
