Company_Name,Ticker,Universe,Listed_Date,Monthly_Close,Monthly_High,Prev_Monthly_ATH_High,Monthly_ATH_Diff_Pct,Monthly_RSI_9,Breakout_Category,Priority
DIVISLAB,DIVISLAB.NS,NSE Top Stock,Prior to 2021,8588.0,8674.0,8090.0,+6.16%,76.8,FRESH MONTHLY ATH HIGH & CLOSE,1
KEI,KEI.NS,NSE Top Stock,Prior to 2021,5790.0,5899.0,5708.0,+1.44%,66.4,FRESH MONTHLY ATH HIGH & CLOSE,1
Netweb Technologies India Limited,NETWEB.NS,NSE Main Board,2023-07-27,5354.5,5396.4,5240.73,+2.17%,73.63,FRESH MONTHLY ATH HIGH & CLOSE,1
TITAN,TITAN.NS,NSE Top Stock,Prior to 2021,5048.6,5168.0,4886.0,+3.33%,71.29,FRESH MONTHLY ATH HIGH & CLOSE,1
Yasho Industries Limited,YASHO.NS,NSE Main Board,2023-08-21,4915.8,4994.0,3858.7,+27.4%,86.51,FRESH MONTHLY ATH HIGH & CLOSE,1
Kennametal India Limited,KENNAMET.NS,NSE Main Board,2026-04-20,3502.2,3775.0,3400.3,+3.0%,74.51,FRESH MONTHLY ATH HIGH & CLOSE,1
Shaily Engineering Plastics Limited,SHAILY.NS,NSE Main Board,2022-04-04,3373.7,3615.2,3233.9,+4.32%,76.45,FRESH MONTHLY ATH HIGH & CLOSE,1
GRASIM,GRASIM.NS,NSE Top Stock,Prior to 2021,3278.7,3411.1,3235.92,+1.32%,70.64,FRESH MONTHLY ATH HIGH & CLOSE,1
SEDEMAC Mechatronics Limited,SEDEMAC.NS,NSE Main Board,2026-03-11,3244.7,3319.9,2977.7,+8.97%,50.0,FRESH MONTHLY ATH HIGH & CLOSE,1
Azad Engineering Limited,AZAD.NS,NSE Main Board,2023-12-28,2858.9,2889.0,2530.0,+13.0%,76.97,FRESH MONTHLY ATH HIGH & CLOSE,1
R R Kabel Limited,RRKABEL.NS,NSE Main Board,2023-09-20,2784.9,2870.0,2775.0,+0.36%,80.03,FRESH MONTHLY ATH HIGH & CLOSE,1
Happy Forgings Limited,HAPPYFORGE.NS,NSE Main Board,2023-12-27,2260.6,2296.7,1688.2,+33.91%,85.49,FRESH MONTHLY ATH HIGH & CLOSE,1
Avalon Technologies Limited,AVALON.NS,NSE Main Board,2023-04-18,2197.3,2258.0,1859.0,+18.2%,85.47,FRESH MONTHLY ATH HIGH & CLOSE,1
Manorama Industries Limited,MANORAMA.NS,NSE Main Board,2022-07-01,1901.0,1968.0,1759.25,+8.06%,71.57,FRESH MONTHLY ATH HIGH & CLOSE,1
Rubicon Research Limited,RUBICON.NS,NSE Main Board,2025-10-16,1804.1,1819.0,1588.14,+13.6%,99.55,FRESH MONTHLY ATH HIGH & CLOSE,1
Aether Industries Limited,AETHER.NS,NSE Main Board,2022-06-03,1633.6,1692.0,1614.4,+1.19%,84.55,FRESH MONTHLY ATH HIGH & CLOSE,1
Senores Pharmaceuticals Limited,SENORES.NS,NSE Main Board,2024-12-30,1537.5,1562.9,1509.8,+1.83%,91.84,FRESH MONTHLY ATH HIGH & CLOSE,1
KRN Heat Exchanger and Refrigeration Limited,KRN.NS,NSE Main Board,2024-10-03,1522.1,1560.0,1405.0,+8.33%,71.01,FRESH MONTHLY ATH HIGH & CLOSE,1
Raghav Productivity Enhancers Limited,RPEL.NS,NSE Main Board,2024-08-08,1495.2,1518.0,1371.8,+9.0%,77.4,FRESH MONTHLY ATH HIGH & CLOSE,1
Ather Energy Limited,ATHERENERG.NS,NSE Main Board,2025-05-06,1465.8,1580.0,1345.0,+8.98%,93.01,FRESH MONTHLY ATH HIGH & CLOSE,1
Sai Life Sciences Limited,SAILIFE.NS,NSE Main Board,2024-12-18,1440.1,1475.0,1338.0,+7.63%,87.27,FRESH MONTHLY ATH HIGH & CLOSE,1
Divgi Torqtransfer Systems Limited,DIVGIITTS.NS,NSE Main Board,2023-03-14,1259.0,1318.8,1141.19,+10.32%,81.85,FRESH MONTHLY ATH HIGH & CLOSE,1
Sudeep Pharma Limited,SUDEEPPHRM.NS,NSE Main Board,2025-11-28,1104.1,1158.6,909.0,+21.46%,82.99,FRESH MONTHLY ATH HIGH & CLOSE,1
KSH International Limited,KSHINTL.NS,NSE Main Board,2025-12-23,999.45,1059.9,930.0,+7.47%,94.97,FRESH MONTHLY ATH HIGH & CLOSE,1
Anthem Biosciences Limited,ANTHEM.NS,NSE Main Board,2025-07-21,891.05,899.9,871.23,+2.28%,71.35,FRESH MONTHLY ATH HIGH & CLOSE,1
Rashi Peripherals Limited,RPTECH.NS,NSE Main Board,2024-02-14,861.1,967.7,840.07,+2.5%,91.03,FRESH MONTHLY ATH HIGH & CLOSE,1
Uniparts India Limited,UNIPARTS.NS,NSE Main Board,2022-12-12,825.85,839.0,743.61,+11.06%,85.23,FRESH MONTHLY ATH HIGH & CLOSE,1
SG Mart Limited,SGMART.NS,NSE Main Board,2025-09-12,804.95,809.0,737.45,+9.15%,97.25,FRESH MONTHLY ATH HIGH & CLOSE,1
SKY GOLD AND DIAMONDS LIMITED,SKYGOLD.NS,NSE Main Board,2023-01-06,795.05,848.0,689.9,+15.24%,85.24,FRESH MONTHLY ATH HIGH & CLOSE,1
Paushak Limited,PAUSHAKLTD.NS,NSE Main Board,2025-12-01,752.35,780.6,688.0,+9.35%,71.8,FRESH MONTHLY ATH HIGH & CLOSE,1
E2E Networks Limited,E2E.NS,NSE Main Board,2022-04-12,664.55,686.95,567.8,+17.04%,80.42,FRESH MONTHLY ATH HIGH & CLOSE,1
J.G.Chemicals Limited,JGCHEM.NS,NSE Main Board,2024-03-13,645.85,654.0,556.86,+15.98%,75.16,FRESH MONTHLY ATH HIGH & CLOSE,1
ASK Automotive Limited,ASKAUTOLTD.NS,NSE Main Board,2023-11-15,638.25,687.7,576.39,+10.73%,74.83,FRESH MONTHLY ATH HIGH & CLOSE,1
Lenskart Solutions Limited,LENSKART.NS,NSE Main Board,2025-11-10,628.4,640.0,575.7,+9.15%,86.62,FRESH MONTHLY ATH HIGH & CLOSE,1
PNGS Reva Diamond Jewellery Limited,PNGSREVA.NS,NSE Main Board,2026-03-04,574.2,644.0,478.9,+19.9%,50.0,FRESH MONTHLY ATH HIGH & CLOSE,1
Leela Palaces Hotels & Resorts Limited,THELEELA.NS,NSE Main Board,2025-06-02,519.15,527.0,511.0,+1.59%,72.96,FRESH MONTHLY ATH HIGH & CLOSE,1
Fujiyama Power Systems Limited,UTLSOLAR.NS,NSE Main Board,2025-11-20,468.3,475.0,402.45,+16.36%,93.58,FRESH MONTHLY ATH HIGH & CLOSE,1
Swaraj Suiting Limited,SWARAJ.NS,NSE Main Board,2026-08-13,376.15,386.75,373.0,+0.84%,68.78,FRESH MONTHLY ATH HIGH & CLOSE,1
Standard Engineering Technology Limited,SETL.NS,NSE Main Board,2025-01-13,308.85,313.8,305.3,+1.16%,77.9,FRESH MONTHLY ATH HIGH & CLOSE,1
Commercial Syn Bags Limited,COMSYN.NS,NSE Main Board,2024-01-23,279.8,290.39,228.0,+22.72%,90.57,FRESH MONTHLY ATH HIGH & CLOSE,1
Shadowfax Technologies Limited,SHADOWFAX.NS,NSE Main Board,2026-01-28,257.38,262.7,253.76,+1.43%,50.0,FRESH MONTHLY ATH HIGH & CLOSE,1
Rajputana Stainless Limited,RSL.NS,NSE Main Board,2026-03-19,164.95,171.99,145.8,+13.13%,50.0,FRESH MONTHLY ATH HIGH & CLOSE,1
Gujarat Kidney And Super Speciality Limited,GKSL.NS,NSE Main Board,2025-12-30,153.46,154.97,148.34,+3.45%,78.38,FRESH MONTHLY ATH HIGH & CLOSE,1
GHCL Textiles Limited,GHCLTEXTIL.NS,NSE Main Board,2023-06-12,127.94,128.55,124.9,+2.43%,77.48,FRESH MONTHLY ATH HIGH & CLOSE,1
Atal Realtech Limited,ATALREAL.NS,NSE Main Board,2023-05-12,33.93,36.7,33.77,+0.47%,73.34,FRESH MONTHLY ATH HIGH & CLOSE,1
PTC Industries Limited,PTCIL.NS,NSE Main Board,2023-06-09,19791.0,20453.0,19851.0,-0.3%,68.53,FRESH MONTHLY ATH CLOSE,2
EICHERMOT,EICHERMOT.NS,NSE Top Stock,Prior to 2021,8018.5,8143.0,8144.71,-1.55%,69.64,FRESH MONTHLY ATH CLOSE,2
Kovai Medical Center & Hospital Limited,KOVAI.NS,NSE Main Board,2026-04-20,6013.0,6279.0,6340.0,-5.16%,88.21,FRESH MONTHLY ATH CLOSE,2
Prudent Corporate Advisory Services Limited,PRUDENT.NS,NSE Main Board,2022-05-20,3354.1,3434.0,3727.42,-10.02%,68.92,FRESH MONTHLY ATH CLOSE,2
MCX,MCX.NS,NSE Top Stock,Prior to 2021,3040.0,3058.0,3480.0,-12.64%,75.67,FRESH MONTHLY ATH CLOSE,2
Knowledge Marine & Engineering Works Limited,KMEW.NS,NSE Main Board,2024-11-14,2706.2,2815.8,2737.0,-1.13%,84.29,FRESH MONTHLY ATH CLOSE,2
Beta Drugs Limited,BETA.NS,NSE Main Board,2025-11-24,2355.0,2807.9,2674.0,-11.93%,70.66,FRESH MONTHLY ATH CLOSE,2
CORONA Remedies Limited,CORONA.NS,NSE Main Board,2025-12-15,2119.4,2270.1,2145.9,-1.23%,91.69,FRESH MONTHLY ATH CLOSE,2
CHOLAFIN,CHOLAFIN.NS,NSE Top Stock,Prior to 2021,1868.0,1952.5,1875.0,-0.37%,64.09,FRESH MONTHLY ATH CLOSE,2
Novartis India Limited,NOVARTIND.NS,NSE Main Board,2026-04-20,1596.5,1681.6,1780.0,-10.31%,82.68,FRESH MONTHLY ATH CLOSE,2
Unimech Aerospace and Manufacturing Limited,UNIMECH.NS,NSE Main Board,2024-12-31,1517.4,1555.0,1523.75,-0.42%,70.71,FRESH MONTHLY ATH CLOSE,2
Syrma SGS Technology Limited,SYRMA.NS,NSE Main Board,2022-08-26,1500.1,1543.0,1516.15,-1.06%,85.94,FRESH MONTHLY ATH CLOSE,2
Travel Food Services Limited,TRAVELFOOD.NS,NSE Main Board,2025-07-14,1346.4,1470.9,1445.0,-6.82%,65.17,FRESH MONTHLY ATH CLOSE,2
Shankara Buildpro Limited,BUILDPRO.NS,NSE Main Board,2026-01-09,1270.1,1380.0,1365.0,-6.95%,50.0,FRESH MONTHLY ATH CLOSE,2
NAM-INDIA,NAM-INDIA.NS,NSE Top Stock,Prior to 2021,1170.6,1215.0,1233.5,-5.1%,78.32,FRESH MONTHLY ATH CLOSE,2
Rossell Techsys Limited,ROSSTECH.NS,NSE Main Board,2024-12-09,1103.55,1172.0,1122.0,-1.64%,73.4,FRESH MONTHLY ATH CLOSE,2
BlueStone Jewellery and Lifestyle Limited,BLUESTONE.NS,NSE Main Board,2025-08-19,820.4,926.0,869.5,-5.65%,76.66,FRESH MONTHLY ATH CLOSE,2
Nephrocare Health Services Limited,NEPHROPLUS.NS,NSE Main Board,2025-12-17,699.1,725.0,769.75,-9.18%,80.92,FRESH MONTHLY ATH CLOSE,2
Rishabh Instruments Limited,RISHABH.NS,NSE Main Board,2023-09-11,665.75,703.8,692.8,-3.9%,76.43,FRESH MONTHLY ATH CLOSE,2
Sheetal Cool Products Limited,SCPL.NS,NSE Main Board,2022-11-22,662.65,688.95,717.05,-7.59%,85.12,FRESH MONTHLY ATH CLOSE,2
GSP Crop Science Limited,GSPCROP.NS,NSE Main Board,2026-03-24,590.9,607.8,594.0,-0.52%,50.0,FRESH MONTHLY ATH CLOSE,2
Omnitech Engineering Limited,OMNI.NS,NSE Main Board,2026-03-05,581.6,764.85,630.4,-7.74%,50.0,FRESH MONTHLY ATH CLOSE,2
Aeroflex Industries Limited,AEROFLEX.NS,NSE Main Board,2023-08-31,485.85,488.0,521.4,-6.82%,81.59,FRESH MONTHLY ATH CLOSE,2
Ram Ratna Wires Limited,RAMRAT.NS,NSE Main Board,2022-07-29,472.65,484.8,516.91,-8.56%,71.74,FRESH MONTHLY ATH CLOSE,2
Shiv Aum Steels Limited,SHIVAUM.NS,NSE Main Board,2025-11-14,442.0,474.05,474.0,-6.75%,73.89,FRESH MONTHLY ATH CLOSE,2
Indo Borax & Chemicals Limited,INDOBORAX.NS,NSE Main Board,2022-03-29,433.15,464.2,499.0,-13.2%,83.66,FRESH MONTHLY ATH CLOSE,2
BHEL,BHEL.NS,NSE Top Stock,Prior to 2021,425.0,434.15,446.5,-4.82%,75.78,FRESH MONTHLY ATH CLOSE,2
Modis Navnirman Limited,MODIS.NS,NSE Main Board,2025-11-14,408.8,424.9,429.05,-4.72%,63.93,FRESH MONTHLY ATH CLOSE,2
Baazar Style Retail Limited,STYLEBAAZA.NS,NSE Main Board,2024-09-06,402.65,402.65,431.15,-6.61%,59.99,FRESH MONTHLY ATH CLOSE,2
Halder Venture Limited,HALDER.NS,NSE Main Board,2026-01-19,290.66,308.05,294.0,-1.14%,50.0,FRESH MONTHLY ATH CLOSE,2
Chembond Chemicals Limited,CHEMBONDCH.NS,NSE Main Board,2025-07-23,266.23,278.9,279.8,-4.85%,76.73,FRESH MONTHLY ATH CLOSE,2
Aequs Limited,AEQUS.NS,NSE Main Board,2025-12-10,259.85,263.45,274.39,-5.3%,86.69,FRESH MONTHLY ATH CLOSE,2
Shanti Gold International Limited,SHANTIGOLD.NS,NSE Main Board,2025-08-01,253.85,269.97,274.1,-7.39%,64.11,FRESH MONTHLY ATH CLOSE,2
Ratnaveer Precision Engineering Limited,RATNAVEER.NS,NSE Main Board,2023-09-11,252.19,257.5,273.97,-7.95%,77.93,FRESH MONTHLY ATH CLOSE,2
Bharat Seats Limited,BHARATSE.NS,NSE Main Board,2025-03-24,240.91,254.2,263.18,-8.46%,72.04,FRESH MONTHLY ATH CLOSE,2
Sportking India Limited,SPORTKING.NS,NSE Main Board,2022-08-24,214.34,241.51,218.9,-2.08%,85.09,FRESH MONTHLY ATH CLOSE,2
Amanta Healthcare Limited,AMANTA.NS,NSE Main Board,2025-09-09,172.29,173.14,189.0,-8.84%,76.39,FRESH MONTHLY ATH CLOSE,2
Canara HSBC Life Insurance Company Limited,CANHLIFE.NS,NSE Main Board,2025-10-17,149.27,154.8,166.25,-10.21%,79.04,FRESH MONTHLY ATH CLOSE,2
Singer India Limited,SINGERIND.NS,NSE Main Board,2026-03-19,78.7,91.3,79.5,-1.01%,50.0,FRESH MONTHLY ATH CLOSE,2
Mangalam Worldwide Limited,MWL.NS,NSE Main Board,2025-09-18,40.72,43.94,41.95,-2.93%,81.6,FRESH MONTHLY ATH CLOSE,2
Kwality Wall's (India) Limited,KWIL.NS,NSE Main Board,2026-02-16,38.1,39.35,39.45,-3.42%,50.0,FRESH MONTHLY ATH CLOSE,2
Aarnav Fashions Limited,AARNAV.NS,NSE Main Board,2026-02-25,35.37,36.04,37.4,-5.43%,50.0,FRESH MONTHLY ATH CLOSE,2
APOLLOHOSP,APOLLOHOSP.NS,NSE Top Stock,Prior to 2021,8817.0,9050.0,9025.99,-2.32%,70.18,MONTHLY ATH TOUCHED / RESISTANCE,3
Garware Hi-Tech Films Limited,GRWRHITECH.NS,NSE Main Board,2022-02-03,7101.0,7990.0,7199.5,-1.37%,72.91,MONTHLY ATH TOUCHED / RESISTANCE,3
Aditya Infotech Limited,CPPLUS.NS,NSE Main Board,2025-08-05,3342.0,4094.0,3866.0,-13.55%,82.65,MONTHLY ATH TOUCHED / RESISTANCE,3
NGL Fine-Chem Limited,NGLFINE.NS,NSE Main Board,2022-07-08,3023.5,3602.0,3346.98,-9.66%,71.09,MONTHLY ATH TOUCHED / RESISTANCE,3
Spectrum Electrical Industries Limited,SPECTRUM.NS,NSE Main Board,2025-03-28,2231.3,2637.2,2520.0,-11.46%,65.32,MONTHLY ATH TOUCHED / RESISTANCE,3
Lloyds Metals And Energy Limited,LLOYDSME.NS,NSE Main Board,2023-07-17,1938.6,2125.0,2100.0,-7.69%,70.14,MONTHLY ATH TOUCHED / RESISTANCE,3
Emcure Pharmaceuticals Limited,EMCURE.NS,NSE Main Board,2024-07-10,1874.5,2048.0,1999.0,-6.23%,71.81,MONTHLY ATH TOUCHED / RESISTANCE,3
Nestle India Limited,NESTLEIND.NS,NSE Main Board,2023-08-01,1462.5,1553.0,1532.6,-4.57%,63.37,MONTHLY ATH TOUCHED / RESISTANCE,3
JSWSTEEL,JSWSTEEL.NS,NSE Top Stock,Prior to 2021,1267.6,1335.0,1320.42,-4.0%,63.27,MONTHLY ATH TOUCHED / RESISTANCE,3
BAJFINANCE,BAJFINANCE.NS,NSE Top Stock,Prior to 2021,1094.3,1176.4,1151.5,-4.97%,62.13,MONTHLY ATH TOUCHED / RESISTANCE,3
Yatharth Hospital & Trauma Care Services Limited,YATHARTH.NS,NSE Main Board,2023-08-07,854.0,919.5,889.37,-3.98%,63.58,MONTHLY ATH TOUCHED / RESISTANCE,3
WeWork India Management Limited,WEWORK.NS,NSE Main Board,2025-10-10,696.05,794.5,767.0,-9.25%,60.96,MONTHLY ATH TOUCHED / RESISTANCE,3
Piccadily Agro Industries Limited,PICCADIL.NS,NSE Main Board,2025-07-02,692.85,809.7,805.5,-13.99%,60.64,MONTHLY ATH TOUCHED / RESISTANCE,3
SG Finserve Limited,SGFIN.NS,NSE Main Board,2025-08-05,668.45,727.45,723.6,-7.62%,82.23,MONTHLY ATH TOUCHED / RESISTANCE,3
Shreeji Shipping Global Limited,SHREEJISPG.NS,NSE Main Board,2025-08-26,625.85,681.55,653.15,-4.18%,78.96,MONTHLY ATH TOUCHED / RESISTANCE,3
Amagi Media Labs Limited,AMAGI.NS,NSE Main Board,2026-01-21,579.15,727.4,677.8,-14.55%,50.0,MONTHLY ATH TOUCHED / RESISTANCE,3
Gretex Corporate Services Limited,GCSL.NS,NSE Main Board,2025-09-04,512.3,542.8,538.7,-4.9%,79.26,MONTHLY ATH TOUCHED / RESISTANCE,3
Tata Capital Limited,TATACAP.NS,NSE Main Board,2025-10-13,363.15,390.2,379.32,-4.26%,63.08,MONTHLY ATH TOUCHED / RESISTANCE,3
Belrise Industries Limited,BELRISE.NS,NSE Main Board,2025-05-28,236.73,268.2,252.0,-6.06%,86.76,MONTHLY ATH TOUCHED / RESISTANCE,3
Mangal Credit and Fincorp Limited,MANCREDIT.NS,NSE Main Board,2024-08-16,227.21,287.27,265.0,-14.26%,69.59,MONTHLY ATH TOUCHED / RESISTANCE,3
OCCL Limited,OCCLLTD.NS,NSE Main Board,2024-10-29,164.81,183.03,166.02,-0.73%,73.45,MONTHLY ATH TOUCHED / RESISTANCE,3
Rhetan TMT Limited,RHETAN.NS,NSE Main Board,2025-09-26,21.43,34.87,33.01,-35.08%,41.42,MONTHLY ATH TOUCHED / RESISTANCE,3
