Company_Name,Ticker,Universe,Listed_Date,Close,Upper_BB,RSI_9,RSI_Slope,Volume_Spike,Vol_ZScore,ATR_14,Stop_Loss,Target_1,Target_1_Gain_%,Target_2,Target_2_Gain_%,Target_3,Target_3_Gain_%,Risk_Reward,Strength_Score,Exchange
Prabha Energy Limited,PRABHA.NS,NSE Main Board,2025-03-19,192.2,176.89,89.28,16.1,17.23x,4.25,9.2,178.75,215.4,+12.07%,230.87,+20.12%,254.07,+32.19%,1:1.72,100,NSE Main Board
Concord Biotech Limited,CONCORDBIO.NS,NSE Main Board,2023-08-18,1565.7,1560.96,84.09,4.25,2.33x,1.52,59.75,1456.1,1743.25,+11.34%,1861.62,+18.9%,2039.17,+30.24%,1:1.62,100,NSE Main Board
SG Mart Limited,SGMART.NS,NSE Main Board,2025-09-12,804.95,775.86,82.53,10.33,2.22x,1.37,25.99,752.97,889.16,+10.46%,945.3,+17.44%,1029.5,+27.9%,1:1.62,100,NSE Main Board
A B Cotspin India Limited,ABCOTS.NS,NSE Main Board,2025-09-24,217.4,209.19,79.91,37.05,9.53x,4.14,5.97,205.45,238.01,+9.48%,251.76,+15.8%,272.37,+25.29%,1:1.72,100,NSE Main Board
Regaal Resources Limited,REGAAL.NS,NSE Main Board,2025-08-20,99.53,95.59,78.83,12.02,10.51x,4.16,5.14,92.56,111.55,+12.08%,119.57,+20.13%,131.59,+32.21%,1:1.72,100,NSE Main Board
Jyoti CNC Automation Limited,JYOTICNC.NS,NSE Main Board,2024-01-16,929.2,896.45,75.47,12.41,4.23x,2.39,41.27,864.16,1034.56,+11.34%,1104.81,+18.9%,1210.17,+30.24%,1:1.62,100,NSE Main Board
Aarnav Fashions Limited,AARNAV.NS,NSE Main Board,2026-02-25,35.37,34.26,71.49,18.34,2.81x,2.87,2.02,32.89,39.39,+11.37%,42.07,+18.94%,46.08,+30.28%,1:1.62,95,NSE Main Board
Aequs Limited,AEQUS.NS,NSE Main Board,2025-12-10,259.85,257.98,69.87,8.14,2.11x,1.95,10.76,241.66,289.32,+11.34%,308.96,+18.9%,338.43,+30.24%,1:1.62,95,NSE Main Board
Valiant Laboratories Limited,VALIANTLAB.NS,NSE Main Board,2023-10-06,90.85,87.0,94.09,1.35,11.32x,4.21,3.2,84.49,101.82,+12.07%,109.13,+20.12%,120.11,+32.21%,1:1.72,90,NSE Main Board
Bilcare Limited,BI.NS,NSE Main Board,2026-04-20,101.38,88.51,92.01,2.3,7.0x,2.34,5.45,94.28,113.63,+12.08%,121.79,+20.13%,134.04,+32.22%,1:1.73,90,NSE Main Board
Gujarat Kidney And Super Speciality Limited,GKSL.NS,NSE Main Board,2025-12-30,153.46,147.94,91.13,0.88,5.2x,2.56,5.51,142.72,171.99,+12.07%,184.34,+20.12%,202.86,+32.19%,1:1.73,90,NSE Main Board
PAKKA LIMITED,PAKKA.NS,NSE Main Board,2023-07-11,95.49,86.88,91.03,2.85,9.32x,3.35,3.78,88.81,107.01,+12.06%,114.69,+20.11%,126.22,+32.18%,1:1.72,90,NSE Main Board
Baazar Style Retail Limited,STYLEBAAZA.NS,NSE Main Board,2024-09-06,402.65,397.29,87.22,2.88,7.22x,3.71,15.36,374.46,451.28,+12.08%,483.7,+20.13%,532.32,+32.2%,1:1.73,90,NSE Main Board
A B Infrabuild Limited,ABINFRA.NS,NSE Main Board,2024-11-08,12.57,11.79,84.03,11.01,6.26x,3.09,0.66,11.69,14.09,+12.09%,15.1,+20.13%,16.62,+32.22%,1:1.73,90,NSE Main Board
Lenskart Solutions Limited,LENSKART.NS,NSE Main Board,2025-11-10,628.4,618.44,82.04,6.58,1.69x,0.59,16.84,594.72,678.92,+8.04%,712.6,+13.4%,763.12,+21.44%,1:1.5,90,NSE Main Board
SONAM LIMITED,SONAMLTD.NS,NSE Main Board,2022-04-07,60.31,58.1,78.52,9.4,7.19x,3.89,3.06,56.09,67.59,+12.07%,72.44,+20.11%,79.72,+32.18%,1:1.73,90,NSE Main Board
Dolphin Offshore Enterprises (India) Limited,DOLPHIN.NS,NSE Main Board,2023-08-21,619.4,571.25,93.22,1.82,4.68x,2.13,35.05,576.04,689.64,+11.34%,736.47,+18.9%,806.72,+30.24%,1:1.62,85,NSE Main Board
Finkurve Financial Services Limited,FINKURVE.NS,NSE Main Board,2025-10-01,78.19,73.51,86.51,4.89,2.68x,0.96,5.19,72.72,87.05,+11.33%,92.96,+18.89%,101.82,+30.22%,1:1.62,85,NSE Main Board
Tamboli Industries Limited,TAMBOLIIN.NS,NSE Main Board,2026-04-20,259.34,253.0,83.83,3.56,2.74x,1.73,11.93,241.19,288.74,+11.34%,308.34,+18.89%,337.75,+30.23%,1:1.62,85,NSE Main Board
Balu Forge Industries Limited,BALUFORGE.NS,NSE Main Board,2024-04-29,542.55,515.07,80.35,5.57,2.9x,1.23,22.74,504.57,604.08,+11.34%,645.1,+18.9%,706.62,+30.24%,1:1.62,85,NSE Main Board
Avalon Technologies Limited,AVALON.NS,NSE Main Board,2023-04-18,2197.3,2124.76,79.62,6.85,2.14x,1.42,107.57,2043.49,2446.47,+11.34%,2612.59,+18.9%,2861.76,+30.24%,1:1.62,85,NSE Main Board
Hindustan Foods Limited,HNDFDS.NS,NSE Main Board,2023-06-06,635.6,616.57,79.37,9.14,2.76x,2.25,19.31,596.98,698.16,+9.84%,739.87,+16.4%,802.44,+26.25%,1:1.62,85,NSE Main Board
Max Estates Limited,MAXESTATES.NS,NSE Main Board,2023-10-30,477.85,467.35,79.01,0.79,2.69x,1.19,18.71,444.4,532.04,+11.34%,568.17,+18.9%,622.35,+30.24%,1:1.62,85,NSE Main Board
Motisons Jewellers Limited,MOTISONS.NS,NSE Main Board,2023-12-26,16.78,16.48,77.87,1.47,2.38x,0.85,0.78,15.61,18.68,+11.32%,19.94,+18.83%,21.83,+30.1%,1:1.62,85,NSE Main Board
Uma Exports Limited,UMAEXPORTS.NS,NSE Main Board,2022-04-07,22.22,21.86,76.64,4.72,3.63x,2.33,0.92,20.66,24.75,+11.39%,26.43,+18.95%,28.96,+30.33%,1:1.62,85,NSE Main Board
Aeroflex Industries Limited,AEROFLEX.NS,NSE Main Board,2023-08-31,485.85,478.18,70.34,10.77,1.99x,1.42,22.01,451.84,536.87,+10.5%,570.88,+17.5%,621.89,+28.0%,1:1.5,85,NSE Main Board
Smartworks Coworking Spaces Limited,SMARTWORKS.NS,NSE Main Board,2025-07-17,508.5,501.79,69.99,8.26,0.69x,-0.16,17.55,483.6,545.85,+7.35%,570.75,+12.24%,608.1,+19.59%,1:1.5,85,NSE Main Board
Swaraj Suiting Limited,SWARAJ.NS,NSE Main Board,2026-08-13,376.15,375.08,69.85,6.81,1.83x,1.77,9.65,364.06,394.28,+4.82%,406.37,+8.03%,424.51,+12.86%,1:1.5,85,NSE Main Board
GHCL Textiles Limited,GHCLTEXTIL.NS,NSE Main Board,2023-06-12,127.94,124.96,69.82,12.14,1.48x,0.28,5.97,118.98,141.38,+10.5%,150.34,+17.51%,163.78,+28.01%,1:1.5,85,NSE Main Board
Gujarat Themis Biosyn Limited,GUJTHEM.NS,NSE Main Board,2025-02-25,371.3,368.8,61.82,19.67,3.02x,1.17,13.71,356.81,394.77,+6.32%,410.42,+10.54%,433.9,+16.86%,1:1.62,85,NSE Main Board
